variable,caida_AUC_media,caida_AUC_pp,caida_AUC_desv,caida_AUC_IC_inf,caida_AUC_IC_sup,p_valor_empirico,IC_excluye_cero,p_emp_menor_005
pf_min,0.02800948746703405,2.800948746703405,0.006246881934881412,0.018203075160454725,0.03495310523672257,0.044,True,True
map_min,0.026417885646263677,2.6417885646263675,0.0045296912861679615,0.02175363594491341,0.03376721050214683,0.012,True,True
rr_max,0.015708789452988207,1.5708789452988208,0.007921625361352231,0.0048724452835133625,0.022578944990559888,0.124,True,False
diuresis_ml_kg_6h,0.015018590932305832,1.501859093230583,0.007047192439502016,0.0064636913339189824,0.025919713267056877,0.12,True,False
gpt_max,0.00885630138075047,0.885630138075047,0.005755916785031474,0.002246704657080091,0.016002050893844152,0.124,True,False
hr_media,0.008621850732031908,0.8621850732031908,0.0037789186739997926,0.005404404376351551,0.01498568279147555,0.116,True,False
glucemia_min,0.008383095699572695,0.8383095699572695,0.002840389041935198,0.0037180620417338064,0.011315751300520269,0.064,True,False
spo2_min,0.008349036528175877,0.8349036528175877,0.004117304463072675,0.002995548219287762,0.013261668040502553,0.148,True,False
ph_min,0.007804057634000575,0.7804057634000575,0.003951656268151998,0.002353726722425037,0.013521691535241237,0.156,True,False
temp_min,0.005539559952658568,0.5539559952658568,0.007681869330783396,-0.005070454885448626,0.016712840944983584,0.288,False,False
lactato_max,0.004553045884496767,0.4553045884496767,0.006133884268260799,-0.0029056577322665836,0.014340751920462629,0.264,False,False
sofa_max,0.003740197795916387,0.3740197795916387,0.0057456361934347,-0.004441366674130808,0.011898237011273165,0.316,False,False
bicarbonato_min,0.003491273603174648,0.3491273603174648,0.005146025458042244,-0.0017990753811090712,0.012127272409483313,0.308,False,False
anchor_age,0.0028386147239475197,0.28386147239475196,0.003407061170359075,-0.002107375999078131,0.007475725634120059,0.292,False,False
ventilacion_invasiva_6h,0.0019285038547258962,0.19285038547258962,0.0017776024959094041,-0.00011060866837169514,0.004804043610196855,0.22,False,False
leucocitos_min,0.0018787520126769639,0.18787520126769638,0.0010543336799301382,0.0004461176597441514,0.003154679791233385,0.312,True,False
gcs_min,0.0018559932322522372,0.1855993232252237,0.006232082928883535,-0.005442523798917239,0.011607999320651725,0.416,False,False
hemoglobina_min,0.0015924474761650452,0.15924474761650453,0.0028452170255756524,-0.0018168653709361303,0.006072483879774509,0.376,False,False
gender,0.0011551645833814531,0.11551645833814532,0.00039162919668434595,0.0007521048317459558,0.001697995590806542,0.156,True,False
peso_kg,0.0010982996421841258,0.10982996421841258,0.003558086352903842,-0.0027195131403801942,0.007021658663465455,0.452,False,False
tp_max,0.001023524981540655,0.1023524981540655,0.001414626273546976,-0.0011399559823929333,0.002727516914578196,0.368,False,False
fio2_max,0.0008900454487854049,0.0890045448785405,0.005091396448317883,-0.004449135424131367,0.007335212730912488,0.436,False,False
contador_estancia_uci,-6.210749763757174e-05,-0.0062107497637571745,0.00038749337091311715,-0.0006001366096447496,0.00046211073563552293,0.488,False,False
bilirrubina_media,-0.0005410893889015395,-0.054108938890153946,0.0016209079045451185,-0.0020449535007475783,0.0020800910347161137,0.536,False,False
creatinina_max,-0.001186313006818407,-0.1186313006818407,0.0035920799674714543,-0.00720335504143121,0.0023799519807923704,0.572,False,False
plaquetas_min,-0.0026725558429032555,-0.26725558429032553,0.0011753184280384765,-0.0038727490996398268,-0.0007659989774487188,0.784,False,False
