variable,coef,std_err,IC_inf_coef,IC_sup_coef,OR,OR_IC_inf,OR_IC_sup,p_valor,p_valor_BH,significativa_bruta,significativa_BH
pf_min,-0.36311379921146547,0.09108307049102428,-0.541633336975196,-0.18459426144773491,0.6955072808152987,0.5817972050080032,0.8314415633200516,6.702059055753258e-05,0.0010185714227115069,True,True
gpt_max,-0.40389436367726883,0.10226761327169555,-0.6043352024746625,-0.20345352487987511,0.6677146524640553,0.5464375762643008,0.8159081228695535,7.835164790088515e-05,0.0010185714227115069,True,True
diuresis_ml_kg_6h,-0.2879641626132759,0.07887967774216835,-0.4425654901000516,-0.1333628351265002,0.7497884622166453,0.6423862696494355,0.8751475002415562,0.0002615508019275014,0.002025353321292344,True,True
rr_max,0.23997738025599738,0.06655931696695208,0.10952351616518555,0.3704312443468092,1.2712203953162775,1.1157463087011412,1.4483590766697554,0.0003115928186603606,0.002025353321292344,True,True
sofa_max,0.25818176501789347,0.08403347144451984,0.09347918749075954,0.4228843425450274,1.2945741055255813,1.0979877512232772,1.5263577511044184,0.002123675965899505,0.011043115022677427,True,True
ventilacion_invasiva_6h,0.2198454217172161,0.08007126363903948,0.06290862878808715,0.3767822146463451,1.2458841290725389,1.0649295308839437,1.457586833737641,0.006039630986407613,0.02617173427443299,True,True
spo2_min,-0.12773569123917883,0.062184669001786055,-0.2496154028732238,-0.005855979605133843,0.8800859628365896,0.7791003652204294,0.994161133223015,0.039962648870073385,0.1337961124003005,True,False
bicarbonato_min,-0.15681857382182487,0.07680281564646513,-0.3073493264001659,-0.006287821243483871,0.8548591385758857,0.7353936636111617,0.9937319057362811,0.04116803458470785,0.1337961124003005,True,False
map_min,-0.10545894962941417,0.05844323411078701,-0.22000558362659947,0.009087684367771132,0.8999114137855889,0.8025143170096816,1.0091291027419855,0.07115796096029059,0.19169077235157217,False,False
temp_min,-0.11130723137351761,0.06224183698264362,-0.2332989901911123,0.01068452744407708,0.8946638379007922,0.7919167627797847,1.010741810840991,0.07372722013522007,0.19169077235157217,False,False
hr_media,0.11583131154385361,0.06839881911531373,-0.018227910507231118,0.24989053359493835,1.1228064516702978,0.9819372130455887,1.2838848667342584,0.09036614248474328,0.21269171726510935,False,False
creatinina_max,-0.11496206716840689,0.069513319211912,-0.25120566926959065,0.02128153493277686,0.8913999565899573,0.7778623727200598,1.0215096017949945,0.09816540796851202,0.21269171726510935,False,False
hemoglobina_min,0.0776282672145395,0.06328660770547208,-0.046411204591900845,0.20166773902097984,1.080720844621106,0.9546493252829861,1.2234414387213233,0.21996753722563944,0.4399350744512789,False,False
gender,0.06233027867831646,0.06449820988544529,-0.0640838897644616,0.1887444471210945,1.0643138068420552,0.9379263138127644,1.2077322735832297,0.33385020122219056,0.6200075165554968,False,False
tp_max,0.05450881380542928,0.06280378157350436,-0.06858433617155954,0.1776019637824181,1.0560217839432402,0.933714710858822,1.1943498321204875,0.38543677202683413,0.6680904048465125,False,False
glucemia_min,-0.04743154856242178,0.0634531539317687,-0.17179744497416455,0.076934347849321,0.9536757513745712,0.8421497375554277,1.0799711716350118,0.45475879784905016,0.7389830465047065,False,False
peso_kg,-0.03557845687580598,0.06825280430482193,-0.16935149515711734,0.09819458140550537,0.9650470166858233,0.8442121147592898,1.1031774220389547,0.6021754556903065,0.9209742263498806,False,False
fio2_max,0.026891566044502987,0.06948085678882512,-0.10928841087657956,0.16307154296558554,1.0272564072485229,0.8964718279842759,1.177120901396192,0.6987298427153791,0.9927487279833219,False,False
bilirrubina_media,0.021443373175775444,0.06599626444589428,-0.10790692825235862,0.1507936746039095,1.021674934492371,0.8977111440874687,1.1627567270884693,0.745243145706332,0.9927487279833219,False,False
plaquetas_min,0.010649175675141755,0.06978952799980118,-0.1261357857025182,0.14743413705280173,1.0107060799616194,0.8814951442192274,1.1588569565816351,0.8787217064388163,0.9927487279833219,False,False
lactato_max,0.010151456778193875,0.06779229579031892,-0.12271900140011754,0.1430219149565053,1.0102031576137227,0.8845121743260212,1.153755085881483,0.8809669738549197,0.9927487279833219,False,False
ph_min,-0.0053768758374101245,0.07398126803425716,-0.15037749671515852,0.13962374504033828,0.994637553685973,0.8603831233105962,1.14984108404609,0.9420616539527423,0.9927487279833219,False,False
gcs_min,0.004984323491049399,0.0763293680948812,-0.14461848893761842,0.15458713591971723,1.004996765895114,0.8653523716450723,1.167175976578824,0.9479349780126944,0.9927487279833219,False,False
anchor_age,0.003683802253253588,0.06943073754784873,-0.13239794276058275,0.13976554726708995,1.0036905957922306,0.8759923309033731,1.1500041456331933,0.9576863130464519,0.9927487279833219,False,False
leucocitos_min,0.0027852232457616765,0.06194862380932311,-0.1186318483123321,0.12420229480385546,1.0027891055835818,0.8881347088743197,1.132244895092171,0.9641390232659565,0.9927487279833219,False,False
contador_estancia_uci,0.0005815502287651806,0.06398926426925418,-0.12483510313618873,0.1259982035937191,1.0005817193618844,0.8826424355547902,1.1342801306532437,0.9927487279833219,0.9927487279833219,False,False
