cluster,variable,importancia
1,map_media,0.021561
2,map_min,0.035515
3,hemoglobina_min,0.011393
4,contador_estancia_uci,0.001901
5,leucocitos_min,0.011825
6,glucemia_min,0.014765
7,tp_min,0.011703
8,sofa_media,0.018243
9,sofa_min,0.00474
10,bilirrubina_max,0.006763
11,plaquetas_max,0.01008
12,lactato_max,0.015048
13,gpt_min,0.012
14,ph_media,0.020629
15,bicarbonato_media,0.010409
16,paco2_min,0.009665
17,creatinina_media,0.00768
18,diuresis_ml_kg_6h,0.042218
19,gender,0.001744
20,peso_kg,0.015107
21,gcs_media,0.007337
22,ventilacion_invasiva_6h,0.003322
23,fio2_media,0.020575
24,rr_max,0.023383
25,rr_min,0.011822
26,pf_media,0.030905
27,pf_min,0.033185
28,spo2_media,0.018322
29,spo2_max,0.001747
30,hr_media,0.018489
31,temp_media,0.018239
32,anchor_age,0.016762
33,tiene_sepsis,0.001837
