variable,shap_medio_absoluto
pf_min,0.042625232766263565
diuresis_ml_kg_6h,0.035840085351303036
map_min,0.03526990065892637
rr_max,0.033268189096319435
spo2_min,0.028497161989647714
ph_min,0.026340320007568637
hr_media,0.019482849572516624
temp_min,0.017751368585504315
sofa_max,0.016468414517899977
lactato_max,0.0163408448905553
gpt_max,0.015227842079398734
glucemia_min,0.014870682786227798
fio2_max,0.01431284787109263
bicarbonato_min,0.011517792563971516
anchor_age,0.011060699153692843
leucocitos_min,0.010564687404231091
tp_max,0.010251437092995792
peso_kg,0.010163591853407006
hemoglobina_min,0.009314323681896846
plaquetas_min,0.009284381380197784
creatinina_max,0.007645727368269032
bilirrubina_media,0.007379085724361005
gcs_min,0.006326454949599732
ventilacion_invasiva_6h,0.00414949286105646
gender,0.001712714548365734
contador_estancia_uci,0.0013242482022065099
