metrica,media,desviacion_estandar
mejor_auc_grid_interno,0.6619364984720211,0.022960601255568397
auc_sin_calibrar,0.658409989405573,0.05315577014829171
auc_calibrado,0.658409989405573,0.05315577014829171
auprc_sin_calibrar,0.21136954569332905,0.04721947976720746
auprc_calibrado,0.21136954569332905,0.04721947976720746
brier_sin_calibrar,0.09589748609191955,0.002333227608030769
brier_calibrado,0.09665604096648199,0.0023351739991349166
logloss_sin_calibrar,0.3350777084644216,0.010298963489324362
logloss_calibrado,0.3377107765273043,0.008393752357834277
ece_sin_calibrar,0.0222896287805433,0.010546566692923058
ece_calibrado,0.026175657429840304,0.015686001658477163
