variable,test,n_pos,n_neg,mediana_pos,mediana_neg,estadistico,p_valor,p_valor_BH,significativa_BH,significativa_bruta
pf_min,Mann-Whitney U,438,3473,88.5,115.0,612221.5,2.6909252166658406e-11,6.727313041664602e-10,True,True
sofa_max,Mann-Whitney U,438,3473,6.0,5.0,894611.5,1.4300232053960966e-09,1.7875290067451208e-08,True,True
spo2_min,Mann-Whitney U,438,3473,93.0,94.0,634578.0,1.4031324855498965e-08,1.1692770712915804e-07,True,True
bicarbonato_min,Mann-Whitney U,438,3473,20.0,22.0,641699.0,8.794804264365759e-08,5.4967526652286e-07,True,True
rr_max,Mann-Whitney U,438,3473,27.0,26.0,877120.0,1.6101849649280898e-07,8.050924824640449e-07,True,True
lactato_max,Mann-Whitney U,438,3473,2.3,1.9,858824.5,1.0176494587318366e-05,4.240206078049319e-05,True,True
creatinina_max,Mann-Whitney U,438,3473,1.3,1.1,854644.5,2.3353835054497777e-05,8.340655376606348e-05,True,True
map_min,Mann-Whitney U,438,3473,61.0,64.0,668254.0,3.3559063059865775e-05,0.00010487207206208054,True,True
ph_min,Mann-Whitney U,438,3473,7.32,7.34,681609.0,0.00038765509922844413,0.0010768197200790115,True,True
hr_media,Mann-Whitney U,438,3473,91.5175,88.3333,825340.5,0.003639750705814605,0.009099376764536512,True,True
diuresis_ml_kg_12h,Mann-Whitney U,438,3473,7.7822,8.8964,697847.5,0.004841976864127265,0.011004492873016511,True,True
tp_max,Mann-Whitney U,438,3473,14.9,14.7,821500.5,0.006228257799111072,0.0129755370814814,True,True
bilirrubina_media,Mann-Whitney U,438,3473,0.8,0.7,820494.0,0.00704857285810247,0.01355494780404321,True,True
temp_min,Mann-Whitney U,438,3473,36.5,36.6111,708015.0,0.018179170728540178,0.03246280487239317,True,True
glucemia_min,Mann-Whitney U,438,3473,124.0,129.0,721389.5,0.0783678748988592,0.130613124831432,False,False
peso_kg,Mann-Whitney U,438,3473,83.65,80.2,793191.0,0.14316280984089058,0.21296496005094342,False,False
gender,Chi-cuadrado,438,3473,0.6279,0.5903,2.13,0.14481617283464154,0.21296496005094342,False,False
plaquetas_min,Mann-Whitney U,438,3473,166.5,175.0,732326.5,0.20442215465404345,0.283919659241727,False,False
anchor_age,Mann-Whitney U,438,3473,63.0,62.0,787833.5,0.22105902577498115,0.29086713917760676,False,False
leucocitos_min,Mann-Whitney U,438,3473,11.3,10.9,787134.5,0.23320545296456374,0.2915068162057047,False,False
gcs_min,Mann-Whitney U,438,3473,6.0,6.0,782710.0,0.30582453948794286,0.36407683272374153,False,False
hemoglobina_min,Mann-Whitney U,438,3473,9.9,10.0,745154.5,0.48827705195818993,0.5548602863161249,False,False
ventilacion_invasiva_12h,Chi-cuadrado,438,3473,0.8037,0.7918,0.26,0.6076539017051089,0.6604933714185967,False,False
gpt_max,Mann-Whitney U,438,3473,32.0,32.0,769250.0,0.6972429976882815,0.7262947892586266,False,False
contador_estancia_uci,Mann-Whitney U,438,3473,1.0,1.0,763338.5,0.8449633981793604,0.8449633981793604,False,False
