variable,tipo,test,n_positivos,n_negativos,valor_positivos,valor_negativos,p_test,OR_crudo,OR_crudo_IC_inf,OR_crudo_IC_sup,p_crudo,coef_ajustado,OR_ajustado,OR_aj_IC_inf,OR_aj_IC_sup,p_ajustado,coherente
pf_min,continua,Mann-Whitney U,332,2866,95.5,137.3214,8.263272038312243e-13,,,,,-0.366,0.694,0.58,0.829,5.824406865412867e-05,True
spo2_min,continua,Mann-Whitney U,332,2866,94.0,96.0,3.253649536968594e-11,,,,,-0.131,0.877,0.778,0.988,0.031578240095765,True
fio2_max,continua,Mann-Whitney U,332,2866,70.0,50.0,5.278967159535142e-10,,,,,0.031,1.032,0.901,1.181,0.6490114392395006,True
rr_max,continua,Mann-Whitney U,332,2866,27.0,24.0,2.096710862801482e-11,,,,,0.242,1.274,1.12,1.449,0.00022247152218806573,True
map_min,continua,Mann-Whitney U,332,2866,63.0,67.0,4.1695894958144886e-09,,,,,-0.1,0.904,0.808,1.012,0.08068013504639318,True
hr_media,continua,Mann-Whitney U,332,2866,93.1786,88.4722,0.00012506882171860816,,,,,0.119,1.127,0.989,1.284,0.0729218174225826,True
diuresis_ml_kg_6h,continua,Mann-Whitney U,332,2866,3.6241,5.0562,8.530974278520855e-10,,,,,-0.287,0.751,0.648,0.87,0.00013713508584745833,True
creatinina_max,continua,Mann-Whitney U,332,2866,1.3,1.1,5.323211114904131e-05,,,,,-0.126,0.882,0.771,1.008,0.06433224662431267,False
ph_min,continua,Mann-Whitney U,332,2866,7.3,7.34,8.62700134955735e-09,,,,,0.002,1.002,0.87,1.153,0.9786264870835437,False
bicarbonato_min,continua,Mann-Whitney U,332,2866,21.0,22.0,4.196108832432075e-05,,,,,-0.162,0.85,0.733,0.986,0.03132969337977963,True
lactato_max,continua,Mann-Whitney U,332,2866,2.35,1.9,3.6805778081668354e-06,,,,,0.019,1.02,0.895,1.161,0.7690778831675333,True
gpt_max,continua,Mann-Whitney U,332,2866,32.0,32.0,0.39712591026145805,,,,,-0.386,0.68,0.559,0.827,0.00011041667389163146,False
glucemia_min,continua,Mann-Whitney U,332,2866,139.0,140.0,0.22160611211429493,,,,,-0.05,0.951,0.843,1.073,0.4151761032085509,True
temp_min,continua,Mann-Whitney U,332,2866,36.6667,36.6667,0.17670776437713143,,,,,-0.118,0.889,0.788,1.003,0.05494643521289339,False
sofa_max,continua,Mann-Whitney U,332,2866,5.0,4.0,1.6544212632768897e-10,,,,,0.26,1.297,1.133,1.485,0.00016140255541258083,True
ventilacion_invasiva_6h,binaria,Chi-cuadrado,332,2866,0.8404,0.7903,0.03854057745508314,,,,,0.214,1.239,1.079,1.422,0.0023950857857512027,True
gender,binaria,Chi-cuadrado,332,2866,0.6235,0.5939,0.3255913263264623,,,,,0.065,1.067,0.946,1.204,0.2899313650034855,True
