subgrupo,algoritmo,auc,std,tiempo_min
GLOBAL,CAT,0.7120488894440273,0.00633789713683885,6.030083560943604
GLOBAL,RF,0.7103844728221471,0.008754486067156658,4.230980066458384
GLOBAL,XGB,0.7077851402578617,0.01616249145244431,1.2847839673360189
GLOBAL,LR,0.6975427114311757,0.020361608420026853,0.09444793065388997
GLOBAL,NB,0.6936387650871615,0.01814964450382998,0.03991911013921102
GLOBAL,LGBM,0.6916244091838899,0.0071969026280055744,0.9580778996149699
NO SÉPTICOS,RF,0.710294866528687,0.04675453769236669,3.608074927330017
NO SÉPTICOS,CAT,0.7078476950074842,0.05976663238149981,5.821584983666738
NO SÉPTICOS,LR,0.7026574029865886,0.04716775944502068,0.02718818187713623
NO SÉPTICOS,NB,0.7018575918103933,0.05095266319524029,0.02974627415339152
NO SÉPTICOS,LGBM,0.7000539662089755,0.05477235198146188,0.8022802472114563
NO SÉPTICOS,XGB,0.6905673624105516,0.052670273019744626,1.0662291844685872
SÉPTICOS,LR,0.6790712091708704,0.01793340475187962,0.015481364727020264
SÉPTICOS,NB,0.6701002948947936,0.026221962768428732,0.019467103481292724
SÉPTICOS,XGB,0.6671029576363441,0.032458804910793004,0.81045530239741
SÉPTICOS,CAT,0.6670113409280242,0.025828462289389054,5.024287140369415
SÉPTICOS,RF,0.6610867154239688,0.034193333178201495,2.8972471555074057
SÉPTICOS,LGBM,0.6290871958418301,0.028244984133672407,0.47882362206776935
