ventana,fold,proporcion_calibracion,metodo_calibracion,n_modelo,positivos_modelo,n_calibracion,positivos_calibracion,mejor_auc_grid_interno,mejores_parametros,brier_sin_calibrar_en_cal,brier_calibrado_en_cal,logloss_sin_calibrar_en_cal,logloss_calibrado_en_cal,ece_sin_calibrar_en_cal,ece_calibrado_en_cal,ece_5_bins_sin_calibrar_en_cal,ece_5_bins_calibrado_en_cal,ece_10_bins_sin_calibrar_en_cal,ece_10_bins_calibrado_en_cal,ece_15_bins_sin_calibrar_en_cal,ece_15_bins_calibrado_en_cal
v5l_12_48_catboost,1,0.2,isotonic,2612,290,651,74,0.6456533353460548,"{'modelo__bagging_temperature': 0, 'modelo__depth': 4, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.09463015893252429,0.09102907957206101,0.3270138645017511,0.3092900995606041,0.019003988325994425,1.7587058281792514e-17,0.00643710259497798,0.0,0.019003988325994425,1.7587058281792514e-17,0.025619993068028587,4.689882208478004e-18
v5l_12_48_catboost,1,0.2,sigmoid,2612,290,651,74,0.6456533353460548,"{'modelo__bagging_temperature': 0, 'modelo__depth': 4, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.09463015893252429,0.09405120402684705,0.3270138645017511,0.324798627984852,0.019003988325994425,0.02263320029577166,0.00643710259497798,0.007220420297286553,0.019003988325994425,0.02263320029577166,0.025619993068028587,0.026578804376854243
v5l_12_48_catboost,2,0.2,isotonic,2610,291,655,73,0.6955895493525025,"{'modelo__bagging_temperature': 0, 'modelo__depth': 4, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 1, 'modelo__learning_rate': 0.01}",0.09637368829618365,0.09321492034750145,0.3408131251613695,0.3281225326109732,0.013481478729480823,0.0,0.013481478729480842,0.0,0.013481478729480823,0.0,0.019302486325243895,8.474984920802722e-18
v5l_12_48_catboost,2,0.2,sigmoid,2610,291,655,73,0.6955895493525025,"{'modelo__bagging_temperature': 0, 'modelo__depth': 4, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 1, 'modelo__learning_rate': 0.01}",0.09637368829618365,0.09575230174303297,0.3408131251613695,0.3386130364470903,0.013481478729480823,0.0045570259500734775,0.013481478729480842,0.004332048668207984,0.013481478729480823,0.0045570259500734775,0.019302486325243895,0.013996722716517815
v5l_12_48_catboost,3,0.2,isotonic,2614,291,650,73,0.6455493140180807,"{'modelo__bagging_temperature': 0, 'modelo__depth': 4, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.09703778132576948,0.09467301897809274,0.3377542239182475,0.32651719933258644,0.017164082949414374,1.3600232051658167e-17,0.005062666278062117,7.856962943501107e-18,0.017164082949414374,1.3600232051658167e-17,0.011046803472566065,1.7934371936252527e-17
v5l_12_48_catboost,3,0.2,sigmoid,2614,291,650,73,0.6455493140180807,"{'modelo__bagging_temperature': 0, 'modelo__depth': 4, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.09703778132576948,0.09766737896897838,0.3377542239182475,0.3405499046010836,0.017164082949414374,0.02397514281491744,0.005062666278062117,0.004783020759831321,0.017164082949414374,0.02397514281491744,0.011046803472566065,0.009350184259035589
v5l_12_48_catboost,4,0.2,isotonic,2610,291,654,73,0.6608694582593048,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.09603425874020312,0.0934964185692528,0.3383611416066492,0.3274526958154965,0.00461964051928861,2.1898894522422814e-17,0.0036412202668440335,0.0,0.00461964051928861,2.1898894522422814e-17,0.018217692952188374,2.786167491079569e-17
v5l_12_48_catboost,4,0.2,sigmoid,2610,291,654,73,0.6608694582593048,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.09603425874020312,0.09572934321638345,0.3383611416066492,0.3372772194921805,0.00461964051928861,0.013162584201185585,0.0036412202668440335,0.0032068801246719417,0.00461964051928861,0.013162584201185585,0.018217692952188374,0.018144336822348242
v5l_12_48_catboost,5,0.2,isotonic,2617,291,647,73,0.6734452143166519,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.09662337335610158,0.09352478044719506,0.33681825193755716,0.3239903173298502,0.011389559300838696,3.0029216276569148e-18,0.01138955930083869,3.0029216276569148e-18,0.011389559300838696,3.0029216276569148e-18,0.0191121799456049,1.733114767961991e-17
v5l_12_48_catboost,5,0.2,sigmoid,2617,291,647,73,0.6734452143166519,"{'modelo__bagging_temperature': 0, 'modelo__depth': 6, 'modelo__iterations': 500, 'modelo__l2_leaf_reg': 5, 'modelo__learning_rate': 0.01}",0.09662337335610158,0.09666103323197636,0.33681825193755716,0.33813147907891156,0.011389559300838696,0.01474055160626267,0.01138955930083869,0.0020716214672237524,0.011389559300838696,0.01474055160626267,0.0191121799456049,0.020047403406885322
