decil_calibrado,n,positivos,frecuencia_observada,probabilidad_media_sin_calibrar,probabilidad_media_calibrada
1,233,9,0.03862660944206009,0.03143233737626514,0.0072243833678512556
2,147,9,0.061224489795918366,0.04272824145288417,0.03124861735775226
3,145,5,0.034482758620689655,0.046514911164508475,0.04385240885511297
4,170,15,0.08823529411764706,0.056144321869607695,0.06775076961270546
5,207,23,0.1111111111111111,0.08581010164869239,0.10000000000000002
6,239,32,0.13389121338912133,0.10349240369395253,0.11844374434027675
7,120,13,0.10833333333333334,0.09855521566194278,0.12871287128712872
8,79,9,0.11392405063291139,0.11563345991931145,0.13614371479884027
9,189,25,0.13227513227513227,0.1488861133020902,0.17294813285663171
10,138,32,0.2318840579710145,0.2566984485588295,0.25843298291112227
