variable,coef,OR,OR_IC_inf,OR_IC_sup,p_valor,p_valor_BH,sig_BH
bicarbonato_min,-0.27,0.763,0.674,0.864,1.962257927250202e-05,0.0002943386890875303,True
pf_min,-0.261,0.77,0.673,0.882,0.0001501809120352845,0.001126356840264634,True
rr_max,0.178,1.195,1.071,1.334,0.0015069293480814289,0.006143313382236777,True
sofa_max,0.203,1.225,1.079,1.389,0.0016382169019298072,0.006143313382236777,True
ventilacion_invasiva_12h,0.188,1.207,1.054,1.383,0.006620957932583746,0.01986287379775124,True
gcs_min,0.177,1.194,1.044,1.366,0.009704671931719894,0.024261679829299734,True
temp_min,-0.127,0.881,0.794,0.978,0.017261745492091897,0.03698945462591121,True
map_min,-0.111,0.895,0.814,0.984,0.022456305339837113,0.042105572512194586,True
glucemia_min,-0.103,0.902,0.812,1.002,0.05452811418488159,0.0880298745234904,False
spo2_min,-0.104,0.901,0.809,1.004,0.05868658301566026,0.0880298745234904,False
ph_min,0.076,1.079,0.95,1.225,0.24131489474448564,0.32906576556066225,False
hr_media,0.058,1.06,0.948,1.186,0.3056733050640187,0.38209163133002333,False
lactato_max,-0.043,0.958,0.854,1.073,0.4568006113617289,0.5270776284943025,False
diuresis_ml_kg_12h,-0.027,0.973,0.875,1.082,0.615668246437815,0.6596445497548018,False
bilirrubina_media,0.02,1.02,0.917,1.135,0.7099526034773853,0.7099526034773853,False
