proporcion,metodo,n_modelo,n_calibracion,mejor_auc_grid,brier_score
0.15,isotonic,2788,493,0.7066874261695085,0.08195364267662428
0.2,isotonic,2621,660,0.6963133901648773,0.08210911413252689
0.3,isotonic,2285,996,0.6904297060796027,0.08252041097312417
0.1,isotonic,2952,329,0.7071574097655097,0.08349618085999351
0.25,isotonic,2450,831,0.6973051965153223,0.08366585823407649
0.4,isotonic,1963,1318,0.6674750716082332,0.08394845031639497
0.35,isotonic,2125,1156,0.6789102738482321,0.08397556018486879
0.3,sigmoid,2285,996,0.6904297060796027,0.08535311531523784
0.2,sigmoid,2621,660,0.6963133901648773,0.08549569054196642
0.35,sigmoid,2125,1156,0.6789102738482321,0.08591085598352409
0.25,sigmoid,2450,831,0.6973051965153223,0.08606611150990826
0.4,sigmoid,1963,1318,0.6674750716082332,0.08634490453256213
0.15,sigmoid,2788,493,0.7066874261695085,0.08650387793491128
0.1,sigmoid,2952,329,0.7071574097655097,0.08750108342908684
