ventana,fold,n_modelo,positivos_modelo,n_calibracion,positivos_calibracion,n_test,positivos_test,prevalencia_test,mejor_auc_grid_interno,auc_sin_calibrar,auc_calibrado,auprc_sin_calibrar,auprc_calibrado,brier_sin_calibrar,brier_calibrado,logloss_sin_calibrar,logloss_calibrado,ece_sin_calibrar,ece_calibrado,tiempo_min
v4_6_24_rf,1,2101,216,523,54,657,68,0.1035007610350076,0.6944341775270962,0.7388395086387696,0.7388395086387696,0.22597567055971657,0.22597567055971657,0.08783945371797795,0.08942955541384703,0.305869880024785,0.30981186030456664,0.015606997592183557,0.039387308465947395,7.25281362136205
v4_6_24_rf,2,2100,215,525,55,656,68,0.10365853658536585,0.696992983166492,0.687687575030012,0.687687575030012,0.2024927061408785,0.2024927061408785,0.08901451028963414,0.0895163347996815,0.312463149475957,0.31532150321027197,0.0071836890243902555,0.019009415049234472,7.463134618600209
v4_6_24_rf,3,2099,216,526,54,656,68,0.10365853658536585,0.7084669233023799,0.7027310924369748,0.7027310924369748,0.21251867610910935,0.21251867610910935,0.0982303132566092,0.08863352072446065,0.3437606477482709,0.31056918380217907,0.09377680164054064,0.019038147866073586,7.505440457661947
v4_6_24_rf,4,2105,217,520,54,656,67,0.10213414634146341,0.7146189184464768,0.6736436662189899,0.6736436662189899,0.1861949315374482,0.1861949315374482,0.10008078741271656,0.08890420551498694,0.34792391345325424,0.3139405445096945,0.0948346485079036,0.005955359589002911,7.469915652275086
v4_6_24_rf,5,2099,217,526,54,656,67,0.10213414634146341,0.697915015930383,0.7080556470618048,0.7080556470618048,0.2094848843797474,0.2094848843797474,0.09527358559161662,0.08761810120518654,0.3353754166532286,0.3068458657761893,0.0853737159420429,0.014641379233277949,7.48952065706253
v4p_3_12_catboost,1,1063,110,270,27,334,35,0.10479041916167664,0.6576993337602826,0.7157190635451505,0.7157190635451505,0.2529636792970707,0.2529636792970707,0.08796473328096238,0.09088540105584676,0.3076460563311825,0.32117443548548946,0.014817433329151544,0.034012147455073014,18.324314399560294
v4p_3_12_catboost,2,1063,110,270,27,334,35,0.10479041916167664,0.6616357568409034,0.6896321070234113,0.6896321070234113,0.18516560077400096,0.18516560077400096,0.09235281836832768,0.09472606786090608,0.3231923228925227,0.3299104428608987,0.02756189856580337,0.037559515405626374,18.97179440657298
v4p_3_12_catboost,3,1067,110,268,28,332,34,0.10240963855421686,0.6717587493449563,0.6258389261744965,0.6258389261744965,0.15047948501363925,0.15047948501363925,0.09242316147532842,0.0916890179130151,0.33046673038848806,0.3267769104214027,0.03203587688726071,0.03266894678954619,19.531355265776316
v4p_3_12_catboost,4,1062,110,271,28,334,34,0.10179640718562874,0.6942919796172579,0.6452941176470588,0.6452941176470588,0.1507107911752573,0.1507107911752573,0.0916738776906235,0.09099364695397963,0.32779867075925057,0.3244468785096406,0.03789062779241408,0.038493536148256444,19.47796761194865
v4p_3_12_catboost,5,1066,110,268,28,333,34,0.1021021021021021,0.6724039796583714,0.6580759394058626,0.6580759394058626,0.21024906155423936,0.21024906155423936,0.08827533712192556,0.08835554997971641,0.3134798978964811,0.3149815762051186,0.008687687889404026,0.014344262553649572,19.538787396748862
v4l_12_48_catboost,1,2612,290,651,74,817,91,0.11138310893512852,0.6519043343071355,0.6129930675385221,0.6129930675385221,0.16986839877569296,0.16986839877569296,0.09771014002033825,0.099586846377507,0.3425674920616707,0.34713261105663157,0.013329473933680273,0.020745606455528177,23.15103743871053
v4l_12_48_catboost,2,2610,291,655,73,815,91,0.1116564417177914,0.6969721218264183,0.601951915487827,0.601951915487827,0.16282609397189893,0.16282609397189893,0.09864959427920118,0.0985316244144549,0.34761536981788665,0.3454355268668439,0.015421717469310136,0.008425622876717935,22.183412969112396
v4l_12_48_catboost,3,2614,291,650,73,816,91,0.11151960784313726,0.6417035644936434,0.7103902993558167,0.7103902993558167,0.2682778710504116,0.2682778710504116,0.09347496780960621,0.09437576528081845,0.32545257325524396,0.330594151486284,0.03748658615282431,0.0471635752501734,22.143071830272675
v4l_12_48_catboost,4,2610,291,654,73,816,91,0.11151960784313726,0.6461373056885006,0.7158014399393708,0.7158014399393708,0.25087609312251746,0.25087609312251746,0.09365316525862902,0.09458229463877187,0.32420921146988985,0.3286689379230513,0.029174849559565025,0.037190358067934165,21.257572627067567
v4l_12_48_catboost,5,2617,291,647,73,816,91,0.11151960784313726,0.6729651660444071,0.6509132247063282,0.6509132247063282,0.2049992715461243,0.2049992715461243,0.0959995630918231,0.09620367412085773,0.33554389571741683,0.33672265530371076,0.016035516787336754,0.017353124498847846,21.316059545675913
